Source,Target,Weight,Type
95fa140f99758c93d1674b5e0107c193a6f3a2eb,197d5e5b38b4c2f2d81f56d902e94623a366c9e5,1,Undirected
2f27bd4df60e80a3a18976d316b5264bfd3fe6f2,197d5e5b38b4c2f2d81f56d902e94623a366c9e5,2,Undirected
cd17bbc2e9c1dca561787d13cc64e7954c05a740,197d5e5b38b4c2f2d81f56d902e94623a366c9e5,2,Undirected
4d1c8d6c69e44f8f3790b95ee0ef7ca437d911b1,197d5e5b38b4c2f2d81f56d902e94623a366c9e5,9,Undirected
26b7799d5fa65a09fa547b2145c40f6e83f13874,197d5e5b38b4c2f2d81f56d902e94623a366c9e5,1,Undirected
b0c2d254430324916a9163b422ecb480c79d08f7,197d5e5b38b4c2f2d81f56d902e94623a366c9e5,1,Undirected
87094992e94a2f4c27fd961981fe452f23f6db91,f3202f6bfdb3960d0205ac8edd808fd754240fa9,2,Undirected
f3202f6bfdb3960d0205ac8edd808fd754240fa9,f3202f6bfdb3960d0205ac8edd808fd754240fa9,7,Undirected
f04afcafa29ff47e7d83002772efca1cba9f6b43,f3202f6bfdb3960d0205ac8edd808fd754240fa9,2,Undirected
55e5f5361ddd2607047e9e70efcff52e16ac8ade,f3202f6bfdb3960d0205ac8edd808fd754240fa9,1,Undirected
ed0e65377d30be4e51f64b0f26a7411821e3adfb,23316a7f71e206b8e6af7e5ce2bdbde14cf94cb2,2,Undirected
23316a7f71e206b8e6af7e5ce2bdbde14cf94cb2,23316a7f71e206b8e6af7e5ce2bdbde14cf94cb2,2,Undirected
9e75e979ebfb58287796ae687f84808f0723102e,9e75e979ebfb58287796ae687f84808f0723102e,8,Undirected
620a738c1b2f20995283ebfc634674d9fa7b69e3,9e75e979ebfb58287796ae687f84808f0723102e,3,Undirected
5568b7f076a994ad70b628526fbac67a735d5404,9e75e979ebfb58287796ae687f84808f0723102e,10,Undirected
6ad3e084b9e044c6fe46709752bdbd1286a42400,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
175b4ccc287a05fdc8afa004c52dfb59b337e0cb,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
d1ce4b5b95803850322612dcace6f9333a60a6ac,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
508ff554196286350f55162c2bdce7b92d049ad3,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
310a5cabc9cd12391c6bc4788196d6f83a2b44c9,96129b98ec4809a770ce40a0c59acca018cc9b8c,6,Undirected
c45ca54df8a2f0bf7146f200d04178bced3e63a4,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
96129b98ec4809a770ce40a0c59acca018cc9b8c,96129b98ec4809a770ce40a0c59acca018cc9b8c,2,Undirected
199daf852c1a46f9b05c61e33e66b28aa3c5206f,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
8d4fe25a1165113c3cd3853c8a4a72d3ed7e579f,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
fdc8031ec31d175e398b91e720123cea8422487d,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
80c14041fe3ec454cb74c29fa869d6ab93c0b5ea,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
4ebb75bea547031070a52a436cc5003c62910987,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
c51f4fab1f061109117f8d72f2f3a90bb5b83fd3,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
2eaa58252fd5269441284b70292fe55d19a7206a,96129b98ec4809a770ce40a0c59acca018cc9b8c,1,Undirected
